University ID,University Name,Russell Group,Primary Courses,Academic Entry Requirements,English Proficiency & Waivers,Tuition Fees (UG / PG),Primary Intakes,Deposit & CAS Fee,Scholarships & Financial Aid,Course Durations,Placement Integration,Deadlines & Cutoffs,Official Website
UK001,Abertay University,No,"BSc Cybersecurity, BSc Computing, BA Business, MSc Applied AI, MSc Cybersecurity","UG XII Std: 55%-60%, PG Degree: 55%-65% [39]","IELTS: 6.0 (5.5) / PTE: 59+ / TOEFL: 78+ / Duolingo: 105+ [39, 47]","UG: £14,000-£15,500, PG: £15,750-£18,000 [39, 47]","September & January [48]","50% of net tuition fee [47]","Abertay International: £3,000/yr auto-applied [39, 49], Global Excellence: up to £5k [50]","UG: 4 yrs, PG: 1 yr [48]","Integrated careers & internship placement support [48]","Rolling admissions [48]","https://www.abertay.ac.uk"
UK002,Aberystwyth University,No,"BA Politics, BSc Computer Science, BSc Agriculture, BSc Environmental Sci, MSc Data Science, MSc IR, MBA","UG XII Std: 75% [29], PG Degree: 50%-60% [29]","IELTS: 6.0 (5.5) / TOEFL: 88 / PTE: 59 [29, 51]","UG: £18,170-£21,875, PG: £17,905-£27,426 [52]","September & January [53]","£3,500 [45] / £6,000 [16]","Aberystwyth International: £2k-£4k auto-applied [52], Zero-cost Accommodation Pathway [52]","UG: 3 yrs, PG: 1 yr [32]","Standard career-focused placement (96% employability) [32]","UCAS Jan 14 (UG), Rolling PG [52]","https://www.aber.ac.uk"
UK003,Anglia Ruskin University,No,"BSc Accounting & Finance, BSc Business Management, BA Writing, MSc Sustainability, MA Social Work, MSc Public Health","UG XII Std: 55%-60% [54], PG Degree: 50%-59% [54]","IELTS: 6.0 (5.5) UG, 6.5 (5.5) PG / PTE: 57 UG, 61 PG / Waiver: 65%+ Standard XII English [54, 55]","UG: £16,700-£17,500, PG: £17,500-£19,500 [55]","Sept, Jan, May ","£6,325 [49]","International UG: up to £7k, International PG: up to £4k [55], Early Payment: £1k [55]","UG: 3 yrs, PG: 1-2 yrs [56]","Optional sandwich placement years available [54]","Rolling PG, UCAS Jan 14 UG [57]","https://www.aru.ac.uk"
UK004,Arden University,No,"BA Business Management, BSc Computing, BSc Psychology, LLB Law, MSc Data Analytics, MBA, Health & Care Management","UG XII Std: 50% , PG: Bachelor's or professional experience [46]","IELTS: 6.0 (5.5) UG, 6.5 PG / TOEFL: 46 UG / PTE: 42 UG / Duolingo: 95 UG ","UG: £9,000-£12,000, PG: £10,000-£15,000 [58]","Jan, Apr, July, Oct/Sept [58]","INR 2.3 Lakh / £2,200 ","Academic Excellence: £5k, International: £3k, Women in STEM: £5k [58, 59]","UG: 3 yrs, PG: 1 yr [46]","Blended career-integrated curriculum modules [46]","Rolling admissions year-round ","https://arden.ac.uk"
UK005,Arts University Bournemouth,No,"Creative Arts, Fine Art, Design, Photography, Textiles, Film, Animation","Portfolio assessment and evaluation ","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 54 [21, 34]","UG/PG Range: £17,950-£19,950 [34]","September ","50% of tuition fee [16]","Creative merit scholarships available [34]","UG: 3 yrs, PG: 1 yr [30, 34]","Dedicated design studio work placements [34]","UCAS Jan 14 (UG) [8]","https://aub.ac.uk"
UK006,Aston University,No,"Engineering, Business, CS, Pre-Master's, Applied Sciences","UG XII: 75%+, PG: 55%+ ","IELTS: 6.5 (6.0) PG / PTE: 59 / TOEFL: 90 ","UG: £16,000-£22,000, PG: £19,030-£25,350 [24]","September & January ","£3,000 ","Regional and GREAT scholarships: up to £10,000 [35]","UG: 3 yrs (or 4 with sandwich), PG: 1-2 yrs [24]","Integrated professional placements (sandwich year standard) [60]","UCAS Jan 14 (UG), PG rolling ","https://www.aston.ac.uk"
UK007,Bangor University,No,"Healthcare, Business, Environmental Sciences, Maritime","UG XII Std: 65%+, PG: 50%-55% [61]","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 59 / Waiver: MOI accepted [34, 45]","UG: £18,000-£21,000, PG: £18,000-£26,000 [61]","September & January [45]","£6,000 [62]","Bangor International: £3k-£5k [62], GREAT Scholarships [35]","UG: 3 yrs, PG: 1-2 yrs [24]","Regional industry networking and internship support [62]","Rolling admissions PG [45]","https://www.bangor.ac.uk"
UK008,Bath Spa University,No,"Creative Writing, Business Management with Professional Placement Year (PPY)","UG XII: 65%+, PG: 50%+ ","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 54 / Waiver: CBSE/ISC English ","UG Base: £15,050, UG PPY: £17,310 ","September ","£5,000 [16]","Entry merit scholarships available [34]","UG: 3-4 yrs (4 with PPY), PG: 1 yr ","Mandatory 9-13 month Sandwich placement year ","UCAS Jan 14 (UG), PG rolling [8]","https://www.bathspa.ac.uk"
UK009,Birkbeck, University of London,No,"Law, Humanities, Social Sciences, Computer Science","UG standard, PG: Honors degree equivalent ","IELTS: 6.5 (6.0) / TOEFL: 90 / PTE: 60 ","UG/PG Range: £16,020 [34]","September ","Standard UKVI compliance minimum deposit [16]","Standard university research bursaries [34]","UG: 3 yrs, PG: 1 yr ","Evening study model allowing full-time day-time work [1]","UCAS Jan 14 (UG), PG rolling [8]","https://www.bbk.ac.uk"
UK010,Birmingham City University,No,"Business, Computing, Engineering, Health, Nursing","UG XII: 60%+, PG: 50%+ [13]","IELTS: 6.0 (5.5) / PTE: 59 / Waiver: MOI accepted [18, 21]","UG/PG Range: £12,500-£15,000 [63]","September & January [45]","£3,000 standard deposit [15]","BCU Merit Scholarships: Up to £2,000 [15]","UG: 3 yrs, PG: 1 yr [13]","Structured career-focused internships [15]","Rolling admissions PG [45]","https://www.bcu.ac.uk"
UK011,Bishop Grosseteste University,No,"Business, Education Studies, TESOL, English Language","UG XII Std: 60%-70% (96-112 UCAS points) [57]","IELTS: 6.0 (5.5) / PTE: 59 [20, 38]","UG/PG Range: £12,690 [18]","September & January [38]","£3,000 standard deposit [16]","Standard regional merit scholarships [38]","UG: 3 yrs, PG: 1 yr","Professional school/industry placement modules [57]","Rolling admissions PG","https://www.bishopg.ac.uk"
UK012,BIMM University,No,"Music Performance, Music Production, Creative Media","Portfolio-based evaluation and standard audition","IELTS: 6.0 (5.5) / TOEFL: 80 / PTE: 54","UG/PG Range: £14,000-£16,000","September","£3,000 standard deposit","Creative talent and songwriting bursaries","UG: 3 yrs, PG: 1 yr","Industry-integrated gig network and label placements","UCAS Jan 14 (UG), PG rolling","https://www.bimm.ac.uk"
